year,zona91,variable,order,value,CCAA,PROVINCIA,macro.reg,regions
1981,101,tfr,Total birth order,1.555023658,País Vasco,1,North-East,Basque Country
1981,102,tfr,Total birth order,1.84255415,País Vasco,1,North-East,Basque Country
1981,201,tfr,Total birth order,2.038535819,Castilla - La Mancha,2,Center,Castile La Mancha
1981,202,tfr,Total birth order,2.191831116,Castilla - La Mancha,2,Center,Castile La Mancha
1981,203,tfr,Total birth order,2.289048467,Castilla - La Mancha,2,Center,Castile La Mancha
1981,204,tfr,Total birth order,2.249759313,Castilla - La Mancha,2,Center,Castile La Mancha
1981,205,tfr,Total birth order,1.886585696,Castilla - La Mancha,2,Center,Castile La Mancha
1981,206,tfr,Total birth order,2.167068366,Castilla - La Mancha,2,Center,Castile La Mancha
1981,207,tfr,Total birth order,2.302937115,Castilla - La Mancha,2,Center,Castile La Mancha
1981,301,tfr,Total birth order,1.807497845,Comunitat Valenciana,3,North-East,Valencian Community
1981,302,tfr,Total birth order,2.271653629,Comunitat Valenciana,3,North-East,Valencian Community
1981,303,tfr,Total birth order,2.24771927,Comunitat Valenciana,3,North-East,Valencian Community
1981,304,tfr,Total birth order,3.028793463,Comunitat Valenciana,3,North-East,Valencian Community
1981,305,tfr,Total birth order,1.872997571,Comunitat Valenciana,3,North-East,Valencian Community
1981,306,tfr,Total birth order,2.197810494,Comunitat Valenciana,3,North-East,Valencian Community
1981,307,tfr,Total birth order,2.093179601,Comunitat Valenciana,3,North-East,Valencian Community
1981,308,tfr,Total birth order,2.025547785,Comunitat Valenciana,3,North-East,Valencian Community
1981,309,tfr,Total birth order,1.904914224,Comunitat Valenciana,3,North-East,Valencian Community
1981,310,tfr,Total birth order,2.301009824,Comunitat Valenciana,3,North-East,Valencian Community
1981,311,tfr,Total birth order,1.738157843,Comunitat Valenciana,3,North-East,Valencian Community
1981,312,tfr,Total birth order,1.725621656,Comunitat Valenciana,3,North-East,Valencian Community
1981,313,tfr,Total birth order,1.993079383,Comunitat Valenciana,3,North-East,Valencian Community
1981,314,tfr,Total birth order,1.917623899,Comunitat Valenciana,3,North-East,Valencian Community
1981,315,tfr,Total birth order,1.754089367,Comunitat Valenciana,3,North-East,Valencian Community
1981,316,tfr,Total birth order,2.49636719,Comunitat Valenciana,3,North-East,Valencian Community
1981,317,tfr,Total birth order,2.39064563,Comunitat Valenciana,3,North-East,Valencian Community
1981,318,tfr,Total birth order,2.726047429,Comunitat Valenciana,3,North-East,Valencian Community
1981,401,tfr,Total birth order,2.521491274,Andalucía,4,South,Andalucía
1981,402,tfr,Total birth order,2.130310568,Andalucía,4,South,Andalucía
1981,403,tfr,Total birth order,2.379313082,Andalucía,4,South,Andalucía
1981,404,tfr,Total birth order,2.505009173,Andalucía,4,South,Andalucía
1981,405,tfr,Total birth order,2.518672654,Andalucía,4,South,Andalucía
1981,406,tfr,Total birth order,1.956680651,Andalucía,4,South,Andalucía
1981,407,tfr,Total birth order,2.71071294,Andalucía,4,South,Andalucía
1981,408,tfr,Total birth order,2.141834324,Andalucía,4,South,Andalucía
1981,409,tfr,Total birth order,2.442740203,Andalucía,4,South,Andalucía
1981,410,tfr,Total birth order,2.957297261,Andalucía,4,South,Andalucía
1981,501,tfr,Total birth order,1.721203404,Castilla y León,5,Center,Castile and Leon
1981,502,tfr,Total birth order,1.932842705,Castilla y León,5,Center,Castile and Leon
1981,503,tfr,Total birth order,2.067886912,Castilla y León,5,Center,Castile and Leon
1981,504,tfr,Total birth order,1.870451144,Castilla y León,5,Center,Castile and Leon
1981,505,tfr,Total birth order,1.422890331,Castilla y León,5,Center,Castile and Leon
1981,506,tfr,Total birth order,1.746312213,Castilla y León,5,Center,Castile and Leon
1981,601,tfr,Total birth order,2.123024799,Extremadura,6,Center,Extremadura
1981,602,tfr,Total birth order,2.445597401,Extremadura,6,Center,Extremadura
1981,603,tfr,Total birth order,2.090163392,Extremadura,6,Center,Extremadura
1981,604,tfr,Total birth order,2.632862657,Extremadura,6,Center,Extremadura
1981,605,tfr,Total birth order,2.463955154,Extremadura,6,Center,Extremadura
1981,606,tfr,Total birth order,2.460717798,Extremadura,6,Center,Extremadura
1981,607,tfr,Total birth order,2.931710657,Extremadura,6,Center,Extremadura
1981,608,tfr,Total birth order,2.809850821,Extremadura,6,Center,Extremadura
1981,609,tfr,Total birth order,2.563657894,Extremadura,6,Center,Extremadura
1981,610,tfr,Total birth order,2.727394984,Extremadura,6,Center,Extremadura
1981,611,tfr,Total birth order,2.83294697,Extremadura,6,Center,Extremadura
1981,612,tfr,Total birth order,2.354152842,Extremadura,6,Center,Extremadura
1981,613,tfr,Total birth order,2.061536122,Extremadura,6,Center,Extremadura
1981,614,tfr,Total birth order,1.993473513,Extremadura,6,Center,Extremadura
1981,615,tfr,Total birth order,2.083540701,Extremadura,6,Center,Extremadura
1981,616,tfr,Total birth order,2.301197794,Extremadura,6,Center,Extremadura
1981,617,tfr,Total birth order,2.305678792,Extremadura,6,Center,Extremadura
1981,618,tfr,Total birth order,1.948145656,Extremadura,6,Center,Extremadura
1981,619,tfr,Total birth order,1.9976305,Extremadura,6,Center,Extremadura
1981,701,tfr,Total birth order,1.659212676,Balears (Illes),7,North-East,Balearic Islands
1981,702,tfr,Total birth order,2.016306533,Balears (Illes),7,North-East,Balearic Islands
1981,703,tfr,Total birth order,1.982827546,Balears (Illes),7,North-East,Balearic Islands
1981,704,tfr,Total birth order,1.590885531,Balears (Illes),7,North-East,Balearic Islands
1981,705,tfr,Total birth order,0.751096099,Balears (Illes),7,North-East,Balearic Islands
1981,706,tfr,Total birth order,1.940241002,Balears (Illes),7,North-East,Balearic Islands
1981,707,tfr,Total birth order,1.7605638,Balears (Illes),7,North-East,Balearic Islands
1981,708,tfr,Total birth order,2.054527199,Balears (Illes),7,North-East,Balearic Islands
1981,709,tfr,Total birth order,1.472039479,Balears (Illes),7,North-East,Balearic Islands
1981,710,tfr,Total birth order,1.534077198,Balears (Illes),7,North-East,Balearic Islands
1981,711,tfr,Total birth order,1.431217563,Balears (Illes),7,North-East,Balearic Islands
1981,712,tfr,Total birth order,1.983698339,Balears (Illes),7,North-East,Balearic Islands
1981,801,tfr,Total birth order,0.143403704,Cataluña,8,North-East,Catalonia
1981,802,tfr,Total birth order,0.966382644,Cataluña,8,North-East,Catalonia
1981,803,tfr,Total birth order,0.892963914,Cataluña,8,North-East,Catalonia
1981,804,tfr,Total birth order,1.743809462,Cataluña,8,North-East,Catalonia
1981,805,tfr,Total birth order,1.856840224,Cataluña,8,North-East,Catalonia
1981,806,tfr,Total birth order,1.660888086,Cataluña,8,North-East,Catalonia
1981,807,tfr,Total birth order,0.876025213,Cataluña,8,North-East,Catalonia
1981,808,tfr,Total birth order,0.806996564,Cataluña,8,North-East,Catalonia
1981,809,tfr,Total birth order,0.550578808,Cataluña,8,North-East,Catalonia
1981,810,tfr,Total birth order,0.400516226,Cataluña,8,North-East,Catalonia
1981,811,tfr,Total birth order,0.546978434,Cataluña,8,North-East,Catalonia
1981,812,tfr,Total birth order,1.198754408,Cataluña,8,North-East,Catalonia
1981,813,tfr,Total birth order,0.251981711,Cataluña,8,North-East,Catalonia
1981,814,tfr,Total birth order,0.696961016,Cataluña,8,North-East,Catalonia
1981,815,tfr,Total birth order,1.047915066,Cataluña,8,North-East,Catalonia
1981,816,tfr,Total birth order,0.699167743,Cataluña,8,North-East,Catalonia
1981,817,tfr,Total birth order,1.609312642,Cataluña,8,North-East,Catalonia
1981,818,tfr,Total birth order,1.883455664,Cataluña,8,North-East,Catalonia
1981,819,tfr,Total birth order,0.938759562,Cataluña,8,North-East,Catalonia
1981,820,tfr,Total birth order,1.991415831,Cataluña,8,North-East,Catalonia
1981,821,tfr,Total birth order,1.59549902,Cataluña,8,North-East,Catalonia
1981,822,tfr,Total birth order,1.328560373,Cataluña,8,North-East,Catalonia
1981,823,tfr,Total birth order,1.384112673,Cataluña,8,North-East,Catalonia
1981,824,tfr,Total birth order,1.477535392,Cataluña,8,North-East,Catalonia
1981,825,tfr,Total birth order,0.934743103,Cataluña,8,North-East,Catalonia
1981,826,tfr,Total birth order,1.30924276,Cataluña,8,North-East,Catalonia
1981,827,tfr,Total birth order,1.231447366,Cataluña,8,North-East,Catalonia
1981,828,tfr,Total birth order,1.326293662,Cataluña,8,North-East,Catalonia
1981,829,tfr,Total birth order,0.771186754,Cataluña,8,North-East,Catalonia
1981,830,tfr,Total birth order,1.07697285,Cataluña,8,North-East,Catalonia
1981,831,tfr,Total birth order,1.8259168,Cataluña,8,North-East,Catalonia
1981,832,tfr,Total birth order,1.873750326,Cataluña,8,North-East,Catalonia
