zona91,year,value,CCAA,PROVINCIA,Regions
101,2018,1.33,País Vasco,1,North-East
102,2018,1.35,País Vasco,1,North-East
201,2018,0.82,Castilla - La Mancha,2,Center
202,2018,1.08,Castilla - La Mancha,2,Center
203,2018,1.37,Castilla - La Mancha,2,Center
204,2018,1.2,Castilla - La Mancha,2,Center
205,2018,1.18,Castilla - La Mancha,2,Center
206,2018,1.41,Castilla - La Mancha,2,Center
207,2018,1.02,Castilla - La Mancha,2,Center
301,2018,1.38,Comunitat Valenciana,3,North-West
302,2018,1.73,Comunitat Valenciana,3,North-West
303,2018,1.19,Comunitat Valenciana,3,North-West
304,2018,1.45,Comunitat Valenciana,3,North-West
305,2018,1.36,Comunitat Valenciana,3,North-West
306,2018,1.39,Comunitat Valenciana,3,North-West
307,2018,1.28,Comunitat Valenciana,3,North-West
308,2018,1.04,Comunitat Valenciana,3,North-West
309,2018,1.15,Comunitat Valenciana,3,North-West
310,2018,1.21,Comunitat Valenciana,3,North-West
311,2018,1.21,Comunitat Valenciana,3,North-West
312,2018,1.23,Comunitat Valenciana,3,North-West
313,2018,1.16,Comunitat Valenciana,3,North-West
314,2018,1.21,Comunitat Valenciana,3,North-West
315,2018,0.99,Comunitat Valenciana,3,North-West
316,2018,1.2,Comunitat Valenciana,3,North-West
317,2018,1.6,Comunitat Valenciana,3,North-West
318,2018,1.5,Comunitat Valenciana,3,North-West
401,2018,1.29,Andalucía,4,South
402,2018,0.92,Andalucía,4,South
403,2018,1.23,Andalucía,4,South
404,2018,1.44,Andalucía,4,South
405,2018,1.34,Andalucía,4,South
406,2018,1.54,Andalucía,4,South
407,2018,1.75,Andalucía,4,South
408,2018,2.01,Andalucía,4,South
409,2018,1.51,Andalucía,4,South
410,2018,1.68,Andalucía,4,South
501,2018,0.76,Castilla y León,5,Center
502,2018,0.66,Castilla y León,5,Center
503,2018,0.85,Castilla y León,5,Center
504,2018,1.23,Castilla y León,5,Center
505,2018,1.27,Castilla y León,5,Center
506,2018,1.2,Castilla y León,5,Center
601,2018,1.26,Extremadura,6,Center
602,2018,1.09,Extremadura,6,Center
603,2018,0.88,Extremadura,6,Center
604,2018,1.11,Extremadura,6,Center
605,2018,1.38,Extremadura,6,Center
606,2018,1.23,Extremadura,6,Center
607,2018,0.99,Extremadura,6,Center
608,2018,1.29,Extremadura,6,Center
609,2018,1.07,Extremadura,6,Center
610,2018,1.2,Extremadura,6,Center
611,2018,1.36,Extremadura,6,Center
612,2018,1.21,Extremadura,6,Center
613,2018,1.17,Extremadura,6,Center
614,2018,1.03,Extremadura,6,Center
615,2018,1.05,Extremadura,6,Center
616,2018,0.99,Extremadura,6,Center
617,2018,1.37,Extremadura,6,Center
618,2018,1.03,Extremadura,6,Center
619,2018,1.09,Extremadura,6,Center
701,2018,1.08,Balears (Illes),7,North-West
702,2018,1.12,Balears (Illes),7,North-West
703,2018,1.45,Balears (Illes),7,North-West
704,2018,1.26,Balears (Illes),7,North-West
705,2018,1.49,Balears (Illes),7,North-West
706,2018,1.31,Balears (Illes),7,North-West
707,2018,1.41,Balears (Illes),7,North-West
708,2018,1.11,Balears (Illes),7,North-West
709,2018,1.37,Balears (Illes),7,North-West
710,2018,1.71,Balears (Illes),7,North-West
711,2018,1.22,Balears (Illes),7,North-West
712,2018,1.53,Balears (Illes),7,North-West
801,2018,1.49,Cataluña,8,North-West
802,2018,1.53,Cataluña,8,North-West
803,2018,1.32,Cataluña,8,North-West
804,2018,1.2,Cataluña,8,North-West
805,2018,1.16,Cataluña,8,North-West
806,2018,1.25,Cataluña,8,North-West
807,2018,1.16,Cataluña,8,North-West
808,2018,1.41,Cataluña,8,North-West
809,2018,1.63,Cataluña,8,North-West
810,2018,1.16,Cataluña,8,North-West
811,2018,1.47,Cataluña,8,North-West
812,2018,1.28,Cataluña,8,North-West
813,2018,1.31,Cataluña,8,North-West
814,2018,1.27,Cataluña,8,North-West
815,2018,1.24,Cataluña,8,North-West
816,2018,1.36,Cataluña,8,North-West
817,2018,1.21,Cataluña,8,North-West
818,2018,1.19,Cataluña,8,North-West
819,2018,1.38,Cataluña,8,North-West
820,2018,1.35,Cataluña,8,North-West
821,2018,1.31,Cataluña,8,North-West
822,2018,1.3,Cataluña,8,North-West
823,2018,1.09,Cataluña,8,North-West
824,2018,1.27,Cataluña,8,North-West
825,2018,1.47,Cataluña,8,North-West
826,2018,1.19,Cataluña,8,North-West
827,2018,1.32,Cataluña,8,North-West
828,2018,1.31,Cataluña,8,North-West
829,2018,1.25,Cataluña,8,North-West
830,2018,1.47,Cataluña,8,North-West
831,2018,1.45,Cataluña,8,North-West
832,2018,1.33,Cataluña,8,North-West
833,2018,1.28,Cataluña,8,North-West
834,2018,1.3,Cataluña,8,North-West
835,2018,1.42,Cataluña,8,North-West
836,2018,1.18,Cataluña,8,North-West
837,2018,1.28,Cataluña,8,North-West
838,2018,1.2,Cataluña,8,North-West
839,2018,1.3,Cataluña,8,North-West
840,2018,1.36,Cataluña,8,North-West
901,2018,1.13,Castilla y León,9,Center
902,2018,0.98,Castilla y León,9,Center
903,2018,0.87,Castilla y León,9,Center
904,2018,1.19,Castilla y León,9,Center
905,2018,0.89,Castilla y León,9,Center
906,2018,1.13,Castilla y León,9,Center
1001,2018,0.81,Extremadura,10,Center
1002,2018,0.98,Extremadura,10,Center
1003,2018,1.25,Extremadura,10,Center
1004,2018,1.18,Extremadura,10,Center
1005,2018,1.25,Extremadura,10,Center
1006,2018,1.04,Extremadura,10,Center
1007,2018,1.53,Extremadura,10,Center
1008,2018,1.23,Extremadura,10,Center
1009,2018,1.08,Extremadura,10,Center
1010,2018,0.66,Extremadura,10,Center
1011,2018,1.07,Extremadura,10,Center
1012,2018,1.19,Extremadura,10,Center
1013,2018,0.93,Extremadura,10,Center
1014,2018,1.09,Extremadura,10,Center
1036,2018,1.35,País Vasco,1,North-East
1059,2018,1.32,País Vasco,1,North-East
1101,2018,1.23,Andalucía,11,South
1102,2018,1.29,Andalucía,11,South
1103,2018,1.14,Andalucía,11,South
1104,2018,1.22,Andalucía,11,South
1105,2018,1.18,Andalucía,11,South
1106,2018,1.17,Andalucía,11,South
1107,2018,1.14,Andalucía,11,South
1108,2018,1.28,Andalucía,11,South
1201,2018,1.09,Comunitat Valenciana,12,North-West
1202,2018,1.36,Comunitat Valenciana,12,North-West
1202,2018,1.36,Comunitat Valenciana,46,North-West
1203,2018,1.56,Comunitat Valenciana,12,North-West
1204,2018,1.11,Comunitat Valenciana,12,North-West
1205,2018,1.22,Comunitat Valenciana,12,North-West
1206,2018,1.43,Comunitat Valenciana,12,North-West
1207,2018,1.21,Comunitat Valenciana,12,North-West
1208,2018,1.27,Comunitat Valenciana,12,North-West
1209,2018,1.12,Comunitat Valenciana,12,North-West
1301,2018,1.09,Castilla - La Mancha,13,Center
1302,2018,1.15,Castilla - La Mancha,13,Center
1303,2018,1.21,Castilla - La Mancha,13,Center
1304,2018,1.23,Castilla - La Mancha,13,Center
1305,2018,1.15,Castilla - La Mancha,13,Center
1306,2018,1.21,Castilla - La Mancha,13,Center
1307,2018,1.43,Castilla - La Mancha,13,Center
1308,2018,1.21,Castilla - La Mancha,13,Center
1309,2018,1.16,Castilla - La Mancha,13,Center
1310,2018,0.98,Castilla - La Mancha,13,Center
1311,2018,1.24,Castilla - La Mancha,13,Center
1312,2018,0.96,Castilla - La Mancha,13,Center
1313,2018,1.13,Castilla - La Mancha,13,Center
1401,2018,1.2,Andalucía,14,South
1402,2018,1.55,Andalucía,14,South
1403,2018,1.2,Andalucía,14,South
1404,2018,1.2,Andalucía,14,South
1405,2018,1.18,Andalucía,14,South
1406,2018,1.44,Andalucía,14,South
1407,2018,1.46,Andalucía,14,South
1408,2018,1.27,Andalucía,14,South
1409,2018,1.08,Andalucía,14,South
1410,2018,1.22,Andalucía,14,South
1411,2018,1.09,Andalucía,14,South
1412,2018,1.32,Andalucía,14,South
1413,2018,1.22,Andalucía,14,South
1414,2018,1.46,Andalucía,14,South
1501,2018,0.9,Galicia,15,North-East
1502,2018,0.67,Galicia,15,North-East
1503,2018,0.75,Galicia,15,North-East
1504,2018,0.9,Galicia,15,North-East
1505,2018,0.87,Galicia,15,North-East
1506,2018,0.93,Galicia,15,North-East
1507,2018,1.21,Galicia,15,North-East
1508,2018,1.16,Galicia,15,North-East
1509,2018,1.04,Galicia,15,North-East
1510,2018,1.13,Galicia,15,North-East
1511,2018,0.95,Galicia,15,North-East
1512,2018,0.98,Galicia,15,North-East
1513,2018,0.9,Galicia,15,North-East
1514,2018,0.66,Galicia,15,North-East
1515,2018,1.14,Galicia,15,North-East
1516,2018,0.88,Galicia,15,North-East
1517,2018,1.07,Galicia,15,North-East
1518,2018,1.06,Galicia,15,North-East
1519,2018,1.16,Galicia,15,North-East
1520,2018,1.05,Galicia,15,North-East
1521,2018,0.96,Galicia,15,North-East
1522,2018,1,Galicia,15,North-East
1523,2018,0.91,Galicia,15,North-East
1524,2018,1.11,Galicia,15,North-East
1525,2018,1.13,Galicia,15,North-East
1601,2018,1.05,Castilla - La Mancha,16,Center
1602,2018,1.08,Castilla - La Mancha,16,Center
1603,2018,0.99,Castilla - La Mancha,16,Center
1604,2018,1.03,Castilla - La Mancha,16,Center
1605,2018,1.37,Castilla - La Mancha,16,Center
1606,2018,1.52,Castilla - La Mancha,16,Center
1607,2018,1.21,Castilla - La Mancha,16,Center
1608,2018,1.09,Castilla - La Mancha,16,Center
1701,2018,1.26,Cataluña,17,North-West
1702,2018,1.08,Cataluña,17,North-West
1703,2018,1.45,Cataluña,17,North-West
1704,2018,1.36,Cataluña,17,North-West
1705,2018,1.36,Cataluña,17,North-West
1706,2018,1.46,Cataluña,17,North-West
1707,2018,1.5,Cataluña,17,North-West
1708,2018,1.48,Cataluña,17,North-West
1709,2018,1.42,Cataluña,17,North-West
1710,2018,1.33,Cataluña,17,North-West
1711,2018,1.1,Cataluña,17,North-West
1712,2018,1.63,Cataluña,17,North-West
1713,2018,1.26,Cataluña,17,North-West
1714,2018,1.5,Cataluña,17,North-West
1715,2018,1.4,Cataluña,17,North-West
1801,2018,1.31,Andalucía,18,South
1802,2018,1.26,Andalucía,18,South
1803,2018,1.55,Andalucía,18,South
1804,2018,1.27,Andalucía,18,South
1805,2018,1.18,Andalucía,18,South
1806,2018,1.1,Andalucía,18,South
1807,2018,1.58,Andalucía,18,South
1808,2018,1.21,Andalucía,18,South
1809,2018,1.19,Andalucía,18,South
1810,2018,1.19,Andalucía,18,South
1811,2018,1.58,Andalucía,18,South
1812,2018,1.22,Andalucía,18,South
1813,2018,1.14,Andalucía,18,South
1814,2018,1.65,Andalucía,18,South
1815,2018,1.42,Andalucía,18,South
1816,2018,1.25,Andalucía,18,South
1817,2018,1.03,Andalucía,18,South
1818,2018,1.42,Andalucía,18,South
1819,2018,0.87,Andalucía,18,South
1901,2018,1.29,Castilla - La Mancha,19,Center
1902,2018,1.26,Castilla - La Mancha,19,Center
1903,2018,1.32,Castilla - La Mancha,19,Center
1904,2018,0.95,Castilla - La Mancha,19,Center
2003,2018,1.26,Castilla - La Mancha,2,Center
2009,2018,1.26,Castilla - La Mancha,2,Center
2037,2018,1.27,Castilla - La Mancha,2,Center
2081,2018,1.44,Castilla - La Mancha,2,Center
2101,2018,1.13,Andalucía,21,South
2102,2018,1.52,Andalucía,21,South
2103,2018,0.78,Andalucía,21,South
2104,2018,1.04,Andalucía,21,South
2105,2018,1,Andalucía,21,South
2106,2018,1.11,Andalucía,21,South
2107,2018,1.17,Andalucía,21,South
2108,2018,1.43,Andalucía,21,South
2109,2018,1.32,Andalucía,21,South
2110,2018,1.25,Andalucía,21,South
2111,2018,1.39,Andalucía,21,South
2112,2018,1.22,Andalucía,21,South
2113,2018,1.24,Andalucía,21,South
2201,2018,1.13,Aragón,22,North-West
2202,2018,1.14,Aragón,22,North-West
2203,2018,1.03,Aragón,22,North-West
2204,2018,1.28,Aragón,22,North-West
2205,2018,1.46,Aragón,22,North-West
2206,2018,1.25,Aragón,22,North-West
2207,2018,1.77,Aragón,22,North-West
2208,2018,1.2,Aragón,22,North-West
2301,2018,1.33,Andalucía,23,South
2302,2018,1.4,Andalucía,23,South
2303,2018,1.09,Andalucía,23,South
2304,2018,1.14,Andalucía,23,South
2305,2018,1.46,Andalucía,23,South
2306,2018,1.43,Andalucía,23,South
2307,2018,1.13,Andalucía,23,South
2308,2018,1.23,Andalucía,23,South
2309,2018,1.28,Andalucía,23,South
2310,2018,1.16,Andalucía,23,South
2311,2018,1.31,Andalucía,23,South
2312,2018,1.14,Andalucía,23,South
2313,2018,1.23,Andalucía,23,South
2314,2018,1.04,Andalucía,23,South
2315,2018,1.07,Andalucía,23,South
2316,2018,1.31,Andalucía,23,South
2317,2018,1.34,Andalucía,23,South
2401,2018,0.86,Castilla y León,24,Center
2402,2018,1.25,Castilla y León,24,Center
2403,2018,0.81,Castilla y León,24,Center
2404,2018,0.86,Castilla y León,24,Center
2405,2018,0.8,Castilla y León,24,Center
2406,2018,0.63,Castilla y León,24,Center
2407,2018,0.56,Castilla y León,24,Center
2408,2018,0.94,Castilla y León,24,Center
2409,2018,1.02,Castilla y León,24,Center
2410,2018,1.05,Castilla y León,24,Center
2411,2018,0.79,Castilla y León,24,Center
2412,2018,1.02,Castilla y León,24,Center
2413,2018,1.36,Castilla y León,24,Center
2414,2018,0.92,Castilla y León,24,Center
2415,2018,0.69,Castilla y León,24,Center
2501,2018,1.2,Cataluña,25,North-West
2502,2018,1.1,Cataluña,25,North-West
2503,2018,1,Cataluña,25,North-West
2504,2018,1.36,Cataluña,25,North-West
2505,2018,1.56,Cataluña,25,North-West
2506,2018,1.35,Cataluña,25,North-West
2507,2018,1.55,Cataluña,25,North-West
2508,2018,1.38,Cataluña,25,North-West
2509,2018,1.43,Cataluña,25,North-West
2510,2018,1.25,Cataluña,25,North-West
2511,2018,1.44,Cataluña,25,North-West
2601,2018,1.1,Rioja (La),26,North-East
2602,2018,1.17,Rioja (La),26,North-East
