year,Nationality,region,order,dist.class,Moran.correlog,p.value,p.value.sig,red.dots,links,class.links,sig
1981,Total,Andalusia,Total Birth Order,18386.03437,0.284330176,5.08e-11,1,1,1310,>500,TRUE
1981,Total,Andalusia,Total Birth Order,50703.71587,0.185147663,5.3e-13,1,1,3032,>500,TRUE
1981,Total,Andalusia,Total Birth Order,83021.39737,0.099819903,5.56e-7,1,1,4054,>500,TRUE
1981,Total,Andalusia,Total Birth Order,115339.0789,0.059285647,5.29153e-4,1,1,4536,>500,TRUE
1981,Total,Andalusia,Total Birth Order,147656.7604,8.59413e-4,0.37151159,1,1,4302,>500,TRUE
1981,Total,Andalusia,Total Birth Order,179974.4419,-0.097567379,0.99997475,0,NA,3528,>500,FALSE
1981,Total,Andalusia,Total Birth Order,212292.1234,-0.103854651,0.999943252,0,NA,2956,>500,FALSE
1981,Total,Andalusia,Total Birth Order,244609.8049,-0.118115212,0.999917426,0,NA,2244,>500,FALSE
1981,Total,Andalusia,Total Birth Order,276927.4864,-0.087625633,0.97947529,0,NA,1588,>500,FALSE
1981,Total,Andalusia,Total Birth Order,309245.1679,-0.069793857,0.917568871,0,NA,1144,>500,FALSE
1981,Total,Andalusia,Total Birth Order,341562.8494,-0.086191928,0.917740082,0,NA,748,>500,FALSE
1981,Total,Andalusia,Total Birth Order,373880.5309,-0.117691655,0.918355621,0,NA,396,101 to 500,FALSE
1981,Total,Andalusia,Total Birth Order,406198.2124,0.120705435,0.084484012,1,1,164,101 to 500,TRUE
1981,Total,Andalusia,Total Birth Order,438515.8939,-0.150258487,0.739965635,0,NA,78,21 to 100,FALSE
1981,Total,Andalusia,Total Birth Order,470833.5754,0.203942404,0.108527363,1,1,22,21 to 100,TRUE
1991,Total,Andalusia,Total Birth Order,18386.03437,0.158402239,7.43e-5,1,1,NA,>500,TRUE
1991,Total,Andalusia,Total Birth Order,50703.71587,0.071731246,0.001455291,1,1,NA,>500,TRUE
1991,Total,Andalusia,Total Birth Order,83021.39737,-0.048236569,0.978796256,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,115339.0789,-0.064969956,0.998961035,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,147656.7604,-0.033039413,0.91934688,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,179974.4419,-0.013293397,0.635814541,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,212292.1234,-0.011176047,0.588175884,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,244609.8049,0.003947572,0.368726367,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,276927.4864,0.015637309,0.287516085,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,309245.1679,-0.021414461,0.62730918,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,341562.8494,-0.012522911,0.522987108,0,NA,NA,>500,FALSE
1991,Total,Andalusia,Total Birth Order,373880.5309,-0.031350353,0.601031941,0,NA,NA,101 to 500,FALSE
1991,Total,Andalusia,Total Birth Order,406198.2124,0.048703737,0.225568325,0,NA,NA,101 to 500,FALSE
1991,Total,Andalusia,Total Birth Order,438515.8939,-0.072657375,0.556406124,0,NA,NA,21 to 100,FALSE
1991,Total,Andalusia,Total Birth Order,470833.5754,-0.195284084,0.606119609,0,NA,NA,21 to 100,FALSE
2001,Total,Andalusia,Total Birth Order,18386.03437,0.057389145,0.077121687,0,NA,NA,>500,FALSE
2001,Total,Andalusia,Total Birth Order,50703.71587,-0.021278879,0.72053444,0,NA,NA,>500,FALSE
